"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Halosimplex halophilum,AM,0.994469813,1.94E-05,0.000819043,0.004691701,AM,NN,Archaea,37,Mesophiles
Halosimplex litoreum,AM,0.986014631,7.47E-06,0.000344528,0.013633367,AM,NN,Archaea,37,Mesophiles
Halosimplex pelagicum,AM,0.993752244,1.84E-05,0.000667309,0.005562015,AM,NN,Archaea,37,Mesophiles
Haloterrigena longa,AM,0.993528342,1.43E-05,0.000478098,0.005979218,AM,NN,Archaea,37,Mesophiles
Halovivax asiaticus JCM 14624,AM,0.982233565,4.61E-06,0.000239907,0.017521922,AM,NN,Archaea,37,Mesophiles
Hanseniaspora osmophila,E,0.000487259,0.001024815,0.998487914,1.16E-08,E,NN,Eukaryota,25,Mesophiles
Hymenobacter elongatus,BM,9.69E-05,0.837170074,0.159130684,0.003602332,BM,NN,Bacteria,15,Mesophiles
Hymenobacter lapidarius,BM,0.00015309,0.880996245,0.111889005,0.00696166,BM,NN,Bacteria,15,Mesophiles
Ignicoccus islandicus DSM 13165,THP,0.000224612,0.000486163,2.01E-06,0.99928721,THP,NN,Archaea,90,Hyperthermophiles
Janthinobacterium lividum,BM,0.000322025,0.94327188,2.11E-05,0.056385003,BM,NN,Bacteria,25,Mesophiles
Kibdelosporangium phytohabitans,BM,7.06E-05,0.974170386,2.95E-06,0.025756036,BM,NN,Bacteria,28,Mesophiles
Kosmotoga pacifica,THP,0.000227729,0.001917562,9.45E-07,0.997853765,THP,NN,Bacteria,70,Hyperthermophiles
Ktedonosporobacter rubrisoli,BM,6.85E-05,0.955638906,2.22E-06,0.04429038,BM,NN,Bacteria,28,Mesophiles
Kutzneria albida DSM 43870,BM,0.00012685,0.858603798,2.47E-06,0.141266878,BM,NN,Bacteria,28,Mesophiles
Labilithrix luteola,BM,9.02E-05,0.938800571,2.76E-06,0.061106482,BM,NN,Bacteria,29,Mesophiles
Laceyella sacchari,THP,0.001778106,0.004536358,4.02E-05,0.993645298,THP,NN,Bacteria,50,Thermophiles
Lachancea meyersii CBS 8951,E,0.000308383,0.001482914,0.998208701,2.38E-09,E,NN,Eukaryota,25,Mesophiles
Marinithermus hydrothermalis DSM 14884,THP,0.000250034,0.000680145,1.39E-06,0.999068432,THP,NN,Bacteria,70,Hyperthermophiles
Marinitoga hydrogenitolerans DSM 16785,THP,0.001946578,0.001579258,8.84E-06,0.996465321,THP,NN,Bacteria,60,Thermophiles
Marinobacter psychrophilus,BM,8.90E-06,0.993213061,2.51E-06,0.006775535,BM,NN,Bacteria,18,Mesophiles
Massilia psychrophila,BM,0.000401947,0.848060876,1.60E-05,0.151521162,BM,NN,Bacteria,15,Mesophiles
Meiothermus cateniformans,THP,0.000955852,0.040854411,8.26E-06,0.958181478,THP,NN,Bacteria,55,Thermophiles
Meiothermus silvanus DSM 9946,THP,0.000268117,0.007560503,1.11E-06,0.992170267,THP,NN,Bacteria,50,Thermophiles
Melittangium boletus DSM 14713,BM,0.000156099,0.842538815,3.82E-06,0.157301268,BM,NN,Bacteria,29,Mesophiles
Mesorhizobium opportunistum WSM2075,BM,0.000126996,0.909971426,3.48E-06,0.089898095,BM,NN,Bacteria,28,Mesophiles
Metallosphaera cuprina Ar-4,THP,0.001111003,0.037796541,1.00E-05,0.961082423,THP,NN,Archaea,65,Hyperthermophiles
Methanimicrococcus blatticola,AM,0.943174637,0.001241259,0.000649822,0.054934282,AM,NN,Archaea,35,Mesophiles
Methanobacterium formicicum,AM,0.889299337,3.48E-05,0.000496007,0.110169829,AM,NN,Archaea,37,Mesophiles
Methanobacterium petrolearium,AM,0.29607473,0.000364041,0.000232061,0.703329167,THP,NN,Archaea,35,Mesophiles
Methanobrevibacter boviskoreani JH1,AM,0.941975252,1.19E-05,0.000350253,0.057662553,AM,NN,Archaea,37,Mesophiles
Methanobrevibacter ruminantium M1,AM,0.976824833,3.72E-05,0.001920898,0.021217036,AM,NN,Archaea,37,Mesophiles
Methanocaldococcus bathoardescens,THP,0.00042143,2.70E-05,5.21E-07,0.999551064,THP,NN,Archaea,80,Hyperthermophiles
Methanocella conradii HZ254,THP,0.980570712,9.89E-06,0.003155659,0.016263742,AM,NN,Archaea,50,Thermophiles
Methanocella paludicola SANAE,AM,0.965223011,9.37E-06,0.000295604,0.034472014,AM,NN,Archaea,37,Mesophiles
Methanococcoides burtonii DSM 6242,AM,0.989169746,0.000262586,0.001034931,0.009532737,AM,NN,Archaea,21,Mesophiles
Methanococcus voltae,AM,0.825453605,7.69E-05,0.000304271,0.174165217,AM,NN,Archaea,30,Mesophiles
Methanohalophilus mahii DSM 5219,AM,0.961989728,0.000582548,0.001253007,0.036174716,AM,NN,Archaea,37,Mesophiles
Methanolacinia paynteri,AM,0.984328424,3.18E-05,0.000490297,0.015149508,AM,NN,Archaea,37,Mesophiles
Methanolacinia petrolearia DSM 11571,AM,0.985776055,5.34E-05,0.000524062,0.013646491,AM,NN,Archaea,37,Mesophiles
Methanolobus profundi,AM,0.992101038,0.00012623,0.000897579,0.006875153,AM,NN,Archaea,30,Mesophiles
Methanolobus psychrotolerans,AM,0.993272126,7.73E-05,0.000830147,0.005820416,AM,NN,Archaea,35,Mesophiles
Methanosarcina acetivorans C2A,AM,0.979340644,0.000813368,0.001406582,0.018439406,AM,NN,Archaea,37,Mesophiles
Methanosarcina flavescens,AM,0.958275346,0.001164396,0.001310954,0.039249304,AM,NN,Archaea,45,Mesophiles
Methanosarcina mazei Go1,AM,0.978807795,0.000757532,0.001403535,0.019031137,AM,NN,Archaea,37,Mesophiles
Methanosarcina spelaei,AM,0.966175209,0.002380625,0.001148514,0.030295652,AM,NN,Archaea,29,Mesophiles
Methanosarcina vacuolata Z-761,AM,0.98043423,0.001197741,0.00164837,0.016719659,AM,NN,Archaea,37,Mesophiles
Methanospirillum hungatei JF-1,AM,0.987761049,9.54E-05,0.000824237,0.011319342,AM,NN,Archaea,37,Mesophiles
Methanothrix soehngenii GP6,AM,0.867304781,0.001141585,0.000970397,0.130583237,AM,NN,Archaea,37,Mesophiles
Methanothrix thermoacetophila PT,THP,0.967311131,5.99E-05,0.000699365,0.031929557,AM,NN,Archaea,55,Thermophiles
Microlunatus soli,BM,5.10E-05,0.973402375,1.81E-06,0.026544851,BM,NN,Bacteria,28,Mesophiles
Micromonospora coriariae,BM,0.000173668,0.753286666,2.78E-06,0.246536885,BM,NN,Bacteria,28,Mesophiles
Micromonospora inositola,BM,0.00014037,0.867726041,3.03E-06,0.132130562,BM,NN,Bacteria,28,Mesophiles
Micromonospora viridifaciens,BM,0.000178573,0.746922354,2.85E-06,0.252896219,BM,NN,Bacteria,28,Mesophiles
Murdochiella vaginalis,BM,0.000764243,0.021716199,1.29E-05,0.977506692,THP,NN,Bacteria,37,Mesophiles
Mycobacterium vicinigordonae,BM,9.19E-05,0.921590454,2.22E-06,0.078315451,BM,NN,Bacteria,30,Mesophiles
Mycolicibacterium aichiense,BM,9.38E-05,0.920127931,2.28E-06,0.079775957,BM,NN,Bacteria,37,Mesophiles
Mycolicibacterium arabiense,BM,0.000138672,0.817947726,2.42E-06,0.181911182,BM,NN,Bacteria,28,Mesophiles
Mycolicibacterium smegmatis,BM,0.000141136,0.756357298,4.07E-06,0.243497497,BM,NN,Bacteria,37,Mesophiles
Mycoplasma crocodyli MP145,BM,4.89E-06,0.998506934,4.53E-05,0.001442917,BM,NN,Bacteria,37,Mesophiles
Mycoplasma feriruminatoris,BM,4.86E-05,0.990569735,0.002187088,0.00719455,BM,NN,Bacteria,37,Mesophiles
Mycoplasma nasistruthionis,BM,4.84E-06,0.998851013,9.52E-05,0.001048944,BM,NN,Bacteria,37,Mesophiles
Mycoplasmopsis bovigenitalium,BM,7.04E-06,0.998239972,8.96E-05,0.001663365,BM,NN,Bacteria,37,Mesophiles
Mycoplasmopsis californica,BM,8.01E-06,0.997973778,9.89E-05,0.001919334,BM,NN,Bacteria,37,Mesophiles
Mycoplasmopsis pulmonis,BM,8.04E-05,0.976320017,0.000432292,0.023167299,BM,NN,Bacteria,37,Mesophiles
Myroides profundi,BM,1.29E-05,0.960878656,0.039079165,2.93E-05,BM,NN,Bacteria,18,Mesophiles
Nannizzia gypsea CBS 118893,E,0.000274595,0.001910169,0.997815234,1.90E-09,E,NN,Eukaryota,24,Mesophiles
Natrarchaeobaculum aegyptiacum,THP,0.989395323,8.35E-06,0.000321081,0.010275244,AM,NN,Archaea,55,Thermophiles
Natrialba aegyptia DSM 13077,AM,0.996324252,3.06E-05,0.000796165,0.002848965,AM,NN,Archaea,37,Mesophiles
Natrinema salaciae,AM,0.995706168,2.41E-05,0.000684921,0.003584819,AM,NN,Archaea,45,Mesophiles
Niastella koreensis GR20-10,BM,0.000271273,0.966587824,0.009343435,0.023797468,BM,NN,Bacteria,26,Mesophiles
Nitrospirillum amazonense CBAmc,BM,0.000231403,0.959901705,0.000552721,0.039314171,BM,NN,Bacteria,30,Mesophiles
Nocardia brasiliensis,BM,7.39E-05,0.94715471,2.07E-06,0.052769287,BM,NN,Bacteria,37,Mesophiles
Nocardia yunnanensis,BM,8.60E-05,0.935144627,2.33E-06,0.064767003,BM,NN,Bacteria,28,Mesophiles
Nonomuraea coxensis DSM 45129,BM,8.57E-05,0.941272993,2.54E-06,0.058638752,BM,NN,Bacteria,29,Mesophiles
Oceanithermus profundus DSM 14977,THP,0.00025785,0.000859956,1.41E-06,0.998880781,THP,NN,Bacteria,60,Thermophiles
Ogataea parapolymorpha DL-1,E,0.000172744,0.001481882,0.998345373,1.03E-09,E,NN,Eukaryota,25,Mesophiles
Ogataea polymorpha,E,0.001435594,0.00246452,0.996099854,3.11E-08,E,NN,Eukaryota,25,Mesophiles
Paenibacillus dendritiformis,BM,0.00179916,0.115712766,0.000127268,0.882360806,THP,NN,Bacteria,37,Mesophiles
Paenibacillus odorifer,BM,0.001386695,0.952177547,0.003013806,0.043421952,BM,NN,Bacteria,30,Mesophiles
Paludibaculum fermentans,BM,0.00024845,0.570541937,3.23E-06,0.429206378,BM,NN,Bacteria,25,Mesophiles
Paraburkholderia acidiphila,BM,8.86E-05,0.94855185,3.53E-06,0.051356064,BM,NN,Bacteria,28,Mesophiles
Paraburkholderia atlantica,BM,6.99E-05,0.964002659,3.06E-06,0.035924374,BM,NN,Bacteria,28,Mesophiles
Paraburkholderia caffeinilytica,BM,0.000198471,0.898360874,7.06E-06,0.101433596,BM,NN,Bacteria,28,Mesophiles
Parageobacillus thermoglucosidasius,THP,0.009007372,0.231340888,0.000957733,0.758694007,THP,NN,Bacteria,55,Thermophiles
Paraglaciecola psychrophila 170,BM,2.19E-05,0.972403557,2.60E-06,0.027571982,BM,NN,Bacteria,15,Mesophiles
Pedobacter psychrophilus,BM,0.00047377,0.902072859,0.003059452,0.094393919,BM,NN,Bacteria,16,Mesophiles
Penicillium expansum,E,0.000969793,0.001416018,0.997614121,6.76E-08,E,NN,Eukaryota,24,Mesophiles
Penicillium subrubescens,E,0.000169296,0.001488158,0.998342546,9.84E-10,E,NN,Eukaryota,25,Mesophiles
Petrotoga halophila DSM 16923,THP,0.016991682,0.036894577,0.000128508,0.945985232,THP,NN,Bacteria,60,Thermophiles
Petrotoga mexicana DSM 14811,THP,0.003470755,0.00508053,1.45E-05,0.991434194,THP,NN,Bacteria,55,Thermophiles
Petrotoga sibirica DSM 13575,THP,0.001693835,0.004620131,7.22E-06,0.993678818,THP,NN,Bacteria,55,Thermophiles
Phytohabitans suffuscus,BM,0.0001663,0.740570391,2.52E-06,0.259260793,BM,NN,Bacteria,28,Mesophiles
Planifilum fulgidum,THP,0.001441615,0.00223618,9.93E-06,0.99631228,THP,NN,Bacteria,60,Thermophiles
Pleurotus pulmonarius,E,0.000172678,0.001487977,0.998339344,1.01E-09,E,NN,Eukaryota,22,Mesophiles
Polaribacter pacificus,BM,0.000543503,0.906096767,0.00784704,0.08551269,BM,NN,Bacteria,16,Mesophiles
Protomyces lactucae-debilis,E,0.000901226,0.000795085,0.998303642,4.69E-08,E,NN,Eukaryota,25,Mesophiles
Pseudomonas asplenii,BM,9.49E-08,0.999993692,1.41E-06,4.80E-06,BM,NN,Bacteria,28,Mesophiles
Pseudomonas monsensis,BM,4.74E-08,0.999996769,1.15E-06,2.03E-06,BM,NN,Bacteria,28,Mesophiles
Pseudomonas silesiensis,BM,8.83E-08,0.999994271,1.44E-06,4.21E-06,BM,NN,Bacteria,28,Mesophiles
Pseudomonas vancouverensis,BM,5.42E-08,0.999996427,1.19E-06,2.33E-06,BM,NN,Bacteria,30,Mesophiles
Pseudorhodoplanes sinuspersici,BM,9.21E-05,0.909222574,2.12E-06,0.090683236,BM,NN,Bacteria,30,Mesophiles
Pseudothermotoga lettingae TMO,THP,0.000168561,0.002931631,6.97E-07,0.996899111,THP,NN,Bacteria,65,Hyperthermophiles
Psychrobacillus insolitus,BM,0.009550931,0.061259264,0.000433576,0.92875623,THP,NN,Bacteria,15,Mesophiles
Psychrobacter glacincola,BM,3.31E-06,0.998466555,2.37E-06,0.001527765,BM,NN,Bacteria,15,Mesophiles
Purpureocillium lilacinum,E,0.00020045,0.001422253,0.998377296,1.47E-09,E,NN,Eukaryota,25,Mesophiles
Pyrobaculum arsenaticum DSM 13514,THP,0.00018432,0.000165798,3.98E-07,0.999649484,THP,NN,Archaea,95,Hyperthermophiles
Pyrodictium occultum,THP,0.000221142,0.000233775,1.39E-06,0.999543692,THP,NN,Archaea,95,Hyperthermophiles
Ralstonia insidiosa,BM,0.000225643,0.652461867,3.34E-06,0.347309154,BM,NN,Bacteria,28,Mesophiles
Rhizobium bangladeshense,BM,9.48E-05,0.944845523,2.88E-06,0.055056768,BM,NN,Bacteria,29,Mesophiles
Rhizobium esperanzae,BM,9.81E-05,0.942282375,2.94E-06,0.057616558,BM,NN,Bacteria,28,Mesophiles
Rhodococcus erythropolis R138,BM,5.01E-05,0.977818793,1.99E-06,0.022129155,BM,NN,Bacteria,29,Mesophiles
Rhodothermus marinus DSM 4252,THP,0.000159479,0.670539219,2.11E-06,0.329299191,BM,NN,Bacteria,67,Hyperthermophiles
Rhodotorula diobovata,E,0.000653912,0.000937752,0.998408316,2.06E-08,E,NN,Eukaryota,25,Mesophiles
Roseovarius indicus,BM,0.00014573,0.761014576,2.22E-06,0.238837478,BM,NN,Bacteria,28,Mesophiles
Saccharomyces paradoxus,E,0.00421036,0.731062315,0.163106084,0.101621241,BM,NN,Eukaryota,25,Mesophiles
Saccharothrix espanaensis DSM 44229,BM,0.000106002,0.931091425,2.98E-06,0.068799595,BM,NN,Bacteria,28,Mesophiles
Salinadaptatus halalkaliphilus,AM,0.991962518,1.28E-05,0.000421915,0.007602724,AM,NN,Archaea,37,Mesophiles
Sandarakinorhabdus limnophila DSM 17366,BM,0.000128906,0.813882684,2.30E-06,0.185986114,BM,NN,Bacteria,15,Mesophiles
Scardovia inopinata JCM 12537,BM,0.000131559,0.796786898,2.08E-06,0.20307946,BM,NN,Bacteria,37,Mesophiles
Schizosaccharomyces cryophilus OY26,E,0.000169176,0.001488259,0.998342565,9.85E-10,E,NN,Eukaryota,25,Mesophiles
Schizosaccharomyces octosporus yFS286,E,0.00016954,0.001488885,0.998341574,9.89E-10,E,NN,Eukaryota,25,Mesophiles
Shewanella halifaxensis HAW-EB4,BM,3.75E-07,0.99995833,3.68E-05,4.50E-06,BM,NN,Bacteria,15,Mesophiles
Siminovitchia thermophila,THP,0.002292542,0.002508586,2.25E-05,0.995176345,THP,NN,Bacteria,50,Thermophiles
Sinorhizobium fredii CCBAU 25509,BM,0.000111124,0.936274944,3.35E-06,0.063610587,BM,NN,Bacteria,25,Mesophiles
Spirochaeta thermophila DSM 6578,THP,0.000160911,0.592192227,1.90E-06,0.407644966,BM,NN,Bacteria,65,Hyperthermophiles
Spiroplasma alleghenense,BM,4.25E-05,0.991699853,0.001403472,0.006854165,BM,NN,Bacteria,30,Mesophiles
Spiroplasma apis B31,BM,2.75E-05,0.994228037,0.000842596,0.004901838,BM,NN,Bacteria,30,Mesophiles
Spirosoma aerolatum,BM,0.00034625,0.945899877,0.00981219,0.043941683,BM,NN,Bacteria,25,Mesophiles
Spirosoma endbachense,BM,0.000798823,0.77671471,0.002141175,0.220345292,BM,NN,Bacteria,25,Mesophiles
Stieleria neptunia,BM,6.71E-05,0.994758853,0.00366841,0.001505624,BM,NN,Bacteria,28,Mesophiles
Streptobacillus moniliformis DSM 12112,BM,0.000150344,0.706113481,1.71E-05,0.293719057,BM,NN,Bacteria,37,Mesophiles
Streptomyces alboniger,BM,5.99E-05,0.977402429,2.55E-06,0.022535115,BM,NN,Bacteria,28,Mesophiles
Streptomyces angustmyceticus,BM,4.84E-05,0.983112539,2.21E-06,0.016836862,BM,NN,Bacteria,29,Mesophiles
Streptomyces atratus,BM,5.64E-05,0.980276996,2.51E-06,0.019664138,BM,NN,Bacteria,28,Mesophiles
Streptomyces aurantiacus,BM,5.97E-05,0.97281039,2.25E-06,0.027127687,BM,NN,Bacteria,28,Mesophiles
Streptomyces clavuligerus,BM,5.77E-05,0.977138257,2.38E-06,0.022801705,BM,NN,Bacteria,28,Mesophiles
Streptomyces davaonensis JCM 4913,BM,6.28E-05,0.976583438,2.68E-06,0.023351093,BM,NN,Bacteria,28,Mesophiles
Streptomyces griseus subsp. griseus NBRC 13350,BM,5.43E-05,0.980305791,2.38E-06,0.019637537,BM,NN,Bacteria,28,Mesophiles
Streptomyces rectiverticillatus,BM,4.94E-05,0.983299271,2.29E-06,0.016649034,BM,NN,Bacteria,28,Mesophiles
Symbiobacterium thermophilum IAM 14863,THP,0.005645204,0.057761555,0.000264544,0.936328697,THP,NN,Bacteria,60,Thermophiles
Tepidibacter thalassicus DSM 15285,THP,0.002128642,0.007592864,7.38E-05,0.99020467,THP,NN,Bacteria,50,Thermophiles
Tepidiphilus succinatimandens,THP,0.007516901,0.246778105,9.79E-05,0.74560714,THP,NN,Bacteria,55,Thermophiles
Thalassomonas viridans,BM,2.72E-05,0.980052086,7.19E-06,0.019913502,BM,NN,Bacteria,25,Mesophiles
Thermacetogenium phaeum DSM 12270,THP,0.000481073,0.006550049,2.95E-06,0.992965932,THP,NN,Bacteria,55,Thermophiles
Thermaerobacter marianensis DSM 12885,THP,0.000136646,0.161895029,1.21E-06,0.837967112,THP,NN,Bacteria,75,Hyperthermophiles
Thermoactinomyces vulgaris,THP,0.003952662,0.029205407,7.86E-05,0.966763352,THP,NN,Bacteria,50,Thermophiles
Thermoanaerobacter kivui,THP,0.000561329,0.033998657,7.97E-06,0.96543205,THP,NN,Bacteria,60,Thermophiles
Thermoanaerobacterium butyriciformans,THP,0.000629334,0.00381847,4.50E-06,0.995547699,THP,NN,Bacteria,55,Thermophiles
Thermoanaerobaculum aquaticum,THP,0.000239225,0.002572397,7.93E-07,0.997187585,THP,NN,Bacteria,60,Thermophiles
Thermocladium modestius,THP,0.000548038,0.024682445,3.33E-06,0.97476619,THP,NN,Archaea,75,Hyperthermophiles
Thermoclostridium caenicola,THP,0.00042978,0.057173989,5.76E-06,0.942390467,THP,NN,Bacteria,56,Thermophiles
Thermoclostridium stercorarium subsp. stercorarium DSM 8532,THP,0.000500837,0.061340544,8.84E-06,0.938149779,THP,NN,Bacteria,60,Thermophiles
Thermodesulfobacterium geofontis OPF15,THP,0.000153218,5.26E-05,2.56E-07,0.999793888,THP,NN,Bacteria,80,Hyperthermophiles
Thermodesulfobacterium hydrogeniphilum,THP,0.000253376,6.00E-05,4.63E-07,0.999686206,THP,NN,Bacteria,70,Hyperthermophiles
Thermodesulfobium acidiphilum,THP,0.0005008,0.03378215,3.64E-06,0.965713406,THP,NN,Bacteria,55,Thermophiles
Thermodesulfovibrio thiophilus DSM 17215,THP,0.000385084,0.043814154,2.61E-06,0.955798148,THP,NN,Bacteria,55,Thermophiles
Thermogymnomonas acidicola,THP,0.048593718,0.000279093,4.52E-05,0.951082025,THP,NN,Archaea,60,Thermophiles
Thermomonospora amylolytica,BM,0.000112662,0.947636443,3.99E-06,0.052246906,BM,NN,Bacteria,45,Mesophiles
Thermonema lapsum,THP,0.000151619,0.67535645,5.82E-06,0.324486109,BM,NN,Bacteria,60,Thermophiles
Thermosipho japonicus,THP,0.000168065,0.005740144,1.11E-06,0.994090683,THP,NN,Bacteria,70,Hyperthermophiles
Thermosulfurimonas dismutans,THP,0.000154667,4.93E-05,2.98E-07,0.999795698,THP,NN,Bacteria,70,Hyperthermophiles
Thermosynechococcus elongatus PKUAC-SCTE542,THP,0.000112203,0.14084586,7.39E-07,0.859041198,THP,NN,Bacteria,50,Thermophiles
Thermotoga maritima MSB8,THP,0.000223035,0.005000848,3.89E-06,0.994772228,THP,NN,Bacteria,80,Hyperthermophiles
Thermovenabulum gondwanense,THP,0.000751665,0.001341591,6.12E-06,0.997900622,THP,NN,Bacteria,65,Hyperthermophiles
Thermus antranikianii DSM 12462,THP,0.000381801,0.000500412,2.54E-06,0.999115251,THP,NN,Bacteria,70,Hyperthermophiles
Thermus scotoductus,THP,0.000315409,0.000205903,1.75E-06,0.999476942,THP,NN,Bacteria,65,Hyperthermophiles
Thiomicrorhabdus arctica DSM 13458,BM,0.000107692,0.78008175,3.26E-06,0.219807294,BM,NN,Bacteria,15,Mesophiles
Torulaspora delbrueckii,E,0.000442335,0.001381081,0.99817658,3.93E-09,E,NN,Eukaryota,25,Mesophiles
Torulaspora globosa,E,0.000466617,0.001426496,0.998106882,4.32E-09,E,NN,Eukaryota,25,Mesophiles
Trichophyton equinum CBS 127.97,E,0.000264028,0.001892517,0.997843453,1.80E-09,E,NN,Eukaryota,30,Mesophiles
Trichophyton interdigitale,E,0.00020406,0.001547464,0.998248474,1.57E-09,E,NN,Eukaryota,30,Mesophiles
Uncinocarpus reesii 1704,E,0.000385045,0.001178256,0.998436692,6.34E-09,E,NN,Eukaryota,24,Mesophiles
Ureibacillus thermophilus,THP,0.026880999,0.248239796,0.002432857,0.722446348,THP,NN,Bacteria,50,Thermophiles
Ustilago hordei,E,0.000175336,0.001477005,0.998347657,1.03E-09,E,NN,Eukaryota,24,Mesophiles
Verticillium nonalfalfae,E,0.000177216,0.001483207,0.998339576,1.07E-09,E,NN,Eukaryota,25,Mesophiles
Vibrio penaeicida,BM,3.08E-05,0.991460846,6.45E-06,0.008501944,BM,NN,Bacteria,22,Mesophiles
Wallemia mellicola CBS 633.66,E,0.000263802,0.001461432,0.998274763,2.59E-09,E,NN,Eukaryota,22,Mesophiles
Weissella viridescens,BM,5.71E-05,0.996275514,0.003129532,0.000537856,BM,NN,Bacteria,30,Mesophiles
Westerdykella ornata,E,0.000267944,0.001309829,0.998422224,2.86E-09,E,NN,Eukaryota,24,Mesophiles
Wickerhamiella sorbophila,E,0.000190245,0.001760938,0.998048816,1.32E-09,E,NN,Eukaryota,25,Mesophiles
Wickerhamomyces ciferrii,E,0.002825529,0.000496828,0.99667696,6.83E-07,E,NN,Eukaryota,25,Mesophiles
Zygosaccharomyces parabailii,E,0.000227093,0.00141741,0.998355496,1.49E-09,E,NN,Eukaryota,25,Mesophiles
Zygosaccharomyces rouxii,E,0.000294988,0.001414041,0.998290969,2.19E-09,E,NN,Eukaryota,25,Mesophiles
Absidia repens,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0,0.6,0,0.4,BM,KNN,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0,0,0,1,THP,KNN,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0,0,0,1,THP,KNN,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0,0,1,0,E,KNN,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0,0,0,1,THP,KNN,Bacteria,50,Thermophiles
Alternaria alternata,E,0,0,1,0,E,KNN,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0,0.4,0,0.6,THP,KNN,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0,0,0,1,THP,KNN,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0,0,0,1,THP,KNN,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0,0,0,1,THP,KNN,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0,0.4,0,0.6,THP,KNN,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0,0,1,0,E,KNN,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0,1,0,0,BM,KNN,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0,0.4,0,0.6,THP,KNN,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0,0.6,0,0.4,BM,KNN,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0,1,0,0,BM,KNN,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0,0.166666667,0,0.833333333,THP,KNN,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0,0,1,0,E,KNN,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0,0.8,0,0.2,BM,KNN,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0,0,0,1,THP,KNN,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Burkholderia lata,BM,0,1,0,0,BM,KNN,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0,1,0,0,BM,KNN,Bacteria,28,Mesophiles
Burkholderia oklahomensis C6786,BM,0,0.666666667,0,0.333333333,BM,KNN,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0,1,0,0,BM,KNN,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0,0,0,1,THP,KNN,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0,0,0,1,THP,KNN,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0,0,0,1,THP,KNN,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0,0.166666667,0,0.833333333,THP,KNN,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0,0.4,0,0.6,THP,KNN,Bacteria,55,Thermophiles
